ID,ConvID,Context,Disclosure Type,Has Parent Tweet,Has Cards,Date,Language,Permalink,is part of conversation?,Author ID,Author Name,is Author verified,Text,Replies,Retweets,Favorites,Mentions,is Reply?,is Retweet?,Reply to User ID,Reply To User Name,Quoted Tweet ID, Quoted Tweet Conv. ID,Quoted Tweet Type,Quoted Tweets User ID,Quoted Tweet User
1196930869170192386,1196841074318286848,tweet,,True,False,19.11.2019 23:18:51,en,/docrocktex26/status/1196930869170192386,True,16582131,Propane Jane™,True,  Speak it into existence; fam!,1,0,1,w_senft,True,True,1892168792,w_senft,,,,,
1196930036009299969,1196930036009299969,tweet,,False,True,19.11.2019 23:15:33,en,/Politics_PR/status/1196930036009299969,False,16711026,R. Saddler 📎🗽🌊🌊🌊,True, Devin Nunes buried in mockery after ‘Trump world’s key witness’ turns out to be a disaster http://j.mp/2QAAFi0&nbsp;pic.twitter.com/AEPkTwnWKM,2,12,28,,False,True,,,,,,,
1196929649265324033,1196929649265324033,tweet,,False,False,19.11.2019 23:14:00,en,/TheDemocrats/status/1196929649265324033,False,14377605,The Democrats,True, No one is above the law.,310,368,1723,,False,True,,,,,,,
1196928296258277378,1196897267854258179,tweet,,True,True,19.11.2019 23:08:38,en,/Politics_PR/status/1196928296258277378,True,16711026,R. Saddler 📎🗽🌊🌊🌊,True, How the Impeachment Process Works: Impeachment Hearings 101 -&gt;http://nymag.com/intelligencer/article/the-impeachment-process.html&nbsp;…,1,1,0,sir_mycroft Heritage HvonSpakovsky realDonaldTrump MickMulvaneyOMB,True,True,888031054141022209,MickMulvaneyOMB,,,,,
1196927899405697025,1196927899405697025,tweet,,False,True,19.11.2019 23:07:03,en,/Politics_PR/status/1196927899405697025,False,16711026,R. Saddler 📎🗽🌊🌊🌊,True, Quid Pro Uh-Oh: Ukraine Cooperating With Criminal Probe Of Giuliani http://j.mp/2KRv5V5&nbsp;pic.twitter.com/ytPAvBfSAT,0,9,12,,False,True,,,,,,,
1196927660682706944,1196927660682706944,tweet,,False,True,19.11.2019 23:06:06,en,/Politics_PR/status/1196927660682706944,False,16711026,R. Saddler 📎🗽🌊🌊🌊,True, Sorry Devin Nunes: Impeachment TV ratings aren’t down — they’re up and ‘the best all year’ http://j.mp/338mjby&nbsp;pic.twitter.com/7849dGpbPI,3,8,26,,False,True,,,,,,,
1196927240321339393,1196841074318286848,tweet,,True,False,19.11.2019 23:04:26,en,/docrocktex26/status/1196927240321339393,True,16582131,Propane Jane™,True, But as the primary went on and the issues of the day impacted the contest; he did the unimaginable. I think if Kamala; Julian or Cory were to demonstrate that same ability to garner mainstream support; each of them could gain major ground on Biden and beat him out for the nom.,0,0,1,janemaestro MtnMD ebeyslew_patty,True,True,811302488812961792,ebeyslew_patty,,,,,
1196926658609070081,1196841074318286848,tweet,,True,False,19.11.2019 23:02:07,en,/docrocktex26/status/1196926658609070081,True,16582131,Propane Jane™,True, I don’t know any Black ppl who actually want Biden and I live in the South. They’ll certainly vote for him and do think White people won’t vote for anything “less” than a White man but it reminds me a lot of the early dynamics in ‘08. We weren’t sure if Obama could pull it off...,3,0,2,janemaestro MtnMD ebeyslew_patty,True,True,811302488812961792,ebeyslew_patty,,,,,
1196926624316432384,1196926624316432384,tweet,,False,True,19.11.2019 23:01:59,en,/npquarterly/status/1196926624316432384,False,61206610,Nonprofit Quarterly,True, It&#39;s no secret students at high-poverty schools often perform less well than those at wealthier schools. San Diego&#39;s job posting system exacerbates this tendency from bad to worse:http://bit.ly/2NZltcH&nbsp;,0,0,0,,False,True,,,,,,,
1196926125647302660,1196926125647302660,tweet,,False,True,19.11.2019 23:00:00,en,/ArkansasOnline/status/1196926125647302660,False,25354366,AR Democrat-Gazette,True, Police found 19 complaints had been made about the barking dog; according to a probable cause affidavit. Details on the arrest:https://www.arkansasonline.com/news/2019/nov/19/bella-vista-man-arrested-in-killing-of-/&nbsp;…,0,0,1,,False,True,,,,,,,
1196925834499637248,1196925834499637248,tweet,,False,True,19.11.2019 22:58:51,en,/kharyp/status/1196925834499637248,False,53503202,Khary Penebaker, Fx,True, “A condition to have the aid lifted” there’s your bribepic.twitter.com/ulRrDq2U0F,5,120,337,,False,True,,,,,,,
1196925282818674692,1196841074318286848,tweet,,True,False,19.11.2019 22:56:39,en,/docrocktex26/status/1196925282818674692,True,16582131,Propane Jane™,True, Same time I need to see some actual real votes in places with ample Black voters b/c I’m still not certain that the Black vote (particularly women under 50) is so solidly behind him. I think it’s more split than the narrative suggests and that there’s room for slippage.,3,0,4,janemaestro MtnMD ebeyslew_patty,True,True,811302488812961792,ebeyslew_patty,,,,,
1196924411665879040,1196841074318286848,tweet,,True,False,19.11.2019 22:53:12,en,/docrocktex26/status/1196924411665879040,True,16582131,Propane Jane™,True, Yeah I can wrap my mind around it if he maintains his hold on so much of the Black vote and ultimately clinches the nom; especially knowing Biden is already talking up the idea of being a placeholder. Kamala would be even stronger going into 2024 with VP added to her resume.,2,0,1,janemaestro MtnMD ebeyslew_patty,True,True,811302488812961792,ebeyslew_patty,,,,,
1196923739444797440,1196923739444797440,tweet,,False,True,19.11.2019 22:50:31,en,/SenateDems/status/1196923739444797440,False,73238146,Senate Democrats,True, Senator Mitch McConnell has refused to act on the more than 300 House-passed bills sitting on his desk. Calling himself the “Grim Reaper;” @SenateMajLdr McConnell has turned the Senate into a legislative graveyard.https://medium.com/@SenateDems/senator-mcconnell-has-turned-the-senate-into-a-legislative-graveyard-acd87f2c4e10?sk=0c9439d4dd2fae4d467678290ab58a3a&nbsp;…,110,966,1084,senatemajldr,False,True,1249982359,senatemajldr,,,,,
1196923261810102272,1196841074318286848,tweet,,True,False,19.11.2019 22:48:38,en,/docrocktex26/status/1196923261810102272,True,16582131,Propane Jane™,True, I’m dreaming with you; dear. ,0,0,2,erchristensen ebeyslew_patty,True,True,811302488812961792,ebeyslew_patty,,,,,
1196923053684535302,1196841074318286848,tweet,,True,False,19.11.2019 22:47:48,en,/docrocktex26/status/1196923053684535302,True,16582131,Propane Jane™,True, I hope she does too and am ready to donate and help out as much as I can from TX.,1,0,3,mrscorie MtnMD ebeyslew_patty,True,True,811302488812961792,ebeyslew_patty,,,,,
1196922738071363586,1196922738071363586,tweet,,False,True,19.11.2019 22:46:33,en,/Politics_PR/status/1196922738071363586,False,16711026,R. Saddler 📎🗽🌊🌊🌊,True, ‘Perfectly impeachable’: George Conway says Vindman and Williams testimony is ‘absolutely devastating’ for Trump http://j.mp/359Xsp4&nbsp;pic.twitter.com/dcj3dTpbQb,0,6,15,,False,True,,,,,,,
1196922711676801025,1196841074318286848,tweet,,True,False,19.11.2019 22:46:26,en,/docrocktex26/status/1196922711676801025,True,16582131,Propane Jane™,True, Frankly; Ds are squandering MAJOR opportunities to flip red Southern states by not investing enough energy into fighting voter suppression aimed at Black and Latino voters; the demographics are in our favor but we aren’t seriously competing in these states yet.,1,5,25,MtnMD ebeyslew_patty,True,True,811302488812961792,ebeyslew_patty,,,,,
1196922256011726848,1196841074318286848,tweet,,True,False,19.11.2019 22:44:38,en,/docrocktex26/status/1196922256011726848,True,16582131,Propane Jane™,True, I think she’d make a great candidate but I also think she wouldn’t want to potentially split the Black woman vote between herself and Kamala (and decrease the overall chance of overtaking Biden) plus her fight against suppression is a more pressing need; especially for GA.,7,1,26,MtnMD ebeyslew_patty,True,True,811302488812961792,ebeyslew_patty,,,,,
1196921592749740032,1196921592749740032,tweet,,False,True,19.11.2019 22:42:00,en,/npquarterly/status/1196921592749740032,False,61206610,Nonprofit Quarterly,True, RT @FundraisingIP What&#39;s the Matter with Connecticut? State Shorts Nonprofit Services—Again - Nonprofit Quarterlyhttp://bit.ly/2KBAdfU&nbsp;,0,1,0,FundraisingIP,False,True,15998426,FundraisingIP,,,,,
1196919914126163968,1196586617118449664,tweet,,True,False,19.11.2019 22:35:19,en,/mcspocky/status/1196919914126163968,True,18082945,McSpocky™ 👽🌊,True, My wife and I both have rf blocking wallets. ,0,0,1,saltyconchy,True,True,1901908940,saltyconchy,,,,,
